,Text,encoded_Author
0,"Heavy losses in metals trading by a young employee at big Chinese conglomerate CITIC showed striking similarities to Nick Leeson's deals that humbled Barings Bank, a top CITIC official said.",49
1,"Although a Canadian federal election is not expected to be called until this weekend, the mudslinging has already begun.",12
2,"French carmakers Renault SA and PSA Peugeot Citroen on Wednesday reported slight gains in first-quarter sales, despite sharp falls in their core domestic market.",38
3,"Vita Food Products Inc, which sells kosher seafood and other specialty products, is scouting for acqusitions that could help it boost annual sales four-fold within the next five years.",36
4,"European aircraft consortium Airbus Industrie Friday attacked as ""anti-competitive"" a deal under which Delta Air Lines Inc. will buy new aircraft exclusively from Boeing Co. for the next quarter century.",38
5,"World bankers and economic chiefs held Hong Kong up as a financial showcase with a rosy future on Friday, but a clash of views between Britain and China over democracy augured a politically bumpy ride.",42
6,"Australian steel-maker The Broken Hill Pty Co Ltd (BHP) on Tuesday announced the closure of Australia's oldest steel-making plant, an industrial icon which it said could no longer match its Asian competitors.",30
7,The big U.S. mining company Freeport-McMoRan Copper &amp; Gold Inc. pulled out of the now worthless Busang gold project on Monday as Canada's mining community reeled from the biggest fraud in mining history.,6
8,"Sales of light vehicles in December are expected to be down as much as 6 percent from an unusually strong month a year ago, but analysts say the pace was robust enough for 1996's total to match industry projections of 15.1 million units.",48
9,"Nearly eight million members of Britain's largest mortgage lender, the Halifax Building Society, are in-line to pocket hundreds of pounds more than originally expected when it floats on the London stock market on June 2.",44
10,The Prague Stock Exchange suffered one of its biggest one-day falls on Friday as foreign interest waned because of a lack of market transparency.,1
11,Analysts said on Wednesday they would increase their forecasts for the Commonwealth Bank of Australia's (CBA) year net profit by about A$50 million to A$1.15 billion after a surprisingly strong first half result.,4
12,"Shares in British conglomerate BTR rose on Wednesday after it clinched a better-than-expected sale price for its Tilcon unit, though profit fears and strategic concerns remained to dampen sentiment, analysts said.",8
13,"The crackdown on China's young stock markets has triggered huge losses in share values and highlighted problems, particularly widespread irregularities and the lack of a regulatory structure, analysts said on Friday.",11
14,"The chairman of Germany's opposition Social Democrats (SPD), Oskar Lafontaine, told Czech President Vaclav Havel on Wednesday that his party would push for approval of a long-awaited post-war reconciliation pact, Havel's spokesman said.",13
15,"The French government has cleared the way for state-owned Air France to buy Boeing long-haul passenger jets from the United states, as well as similar planes from French-based Airbus, an official source said on Tuesday.",38
16,"Polaris Industries Inc., best known for its snowmobiles, said Wednesday it will begin building motorcycles, riding its small-engine expertise into a market no major U.S. company other than Harley-Davidson Inc. has dared test in 40 years.",22
17,"Royal Bank of Canada and Canadian Imperial Bank of Commerce, Canada's two largest banks, wrapped up the industry's third-quarter profit parade on Thursday with sharply higher earnings.",6
18,"Hong Kong's future government has hit a new snag, with a shortage of trained staff forcing it to cancel a sitting of a controversial legislature preparing new laws ahead of the territory's handover to China.",37
19,A top Indonesian mining official said on Tuesday that the recent battle over the huge Busang gold deposit has caused some uncertainty among foreign investors in Indonesia.,6
20,"Japan's securities watchdog filed complaints with prosecutors Tuesday alleging that Nomura Securities Co Ltd, Japan's biggest brokerage, and three former executives made illegal to payments to a client.",10
21,"Delayed export financing is slowing Ivory Coast cocoa arrivals but shipments for existing contracts will continue ahead of an imminent government decision on licences and marketing rates, exporters and shipping sources said on Friday.",32
22,"Soft drinks and confectionery group Cadbury-Schweppes Plc, expected to report a solid eight percent rise in first half profits on Wednesday, faces questions about the performance of its 7UP soft drink in the U.S.",47
23,"Quick &amp; Reilly Group Inc agreed on Wednesday to buy over-the-counter market-maker  Nash, Weiss Inc, another step by the pioneering discount broker into low-profile, but lucrative financial services businesses.",33
24,"Third-quarter profits for St. Jude Medical Inc were held back by several factors, including a missed heart valve sale to Iran, tax law changes and a dilutive acquisition, said chief executive Ronald Matricaria.",22
25,"Starbucks Corp. executives Thursday lashed out at critics of the company's coffee buying practices, saying the retailer has been targeted unfairly because of its high visibility.",31
26,"Troubled auto lender Mercury Finance Co. said Thursday it won an extension of its short-term credit line with Bank of America, but analysts said permanent refinancing remains Mercury's most critical need.",22
27,MCI Communications Corp is ducking the trench warfare in the consumer long distance telephone market by quietly using data warehousing  to target key customers who are unlikely to flee to the enemy.,35
28,Australia's Foster's Brewing Group Ltd said on Monday it was thirsty for expansion and eyeing possible joint ventures in India and Vietnam to add to its international stable of breweries.,30
29,"French electrical equipment company Schneider aims to almost double its return on equity capital to 15 percent in the next three years, executive vice president Michel Staib told Reuters.",38
30,"Boris Becker withdrew from the Czech Indoor Open on Thursday because of a recurring wrist injury, while top seed Goran Ivanisevic crashed out to Czech Petr Korda 7-6 6-2.",1
31,Triarc Cos Inc plans to apply the same marketing principles to Snapple that it used to turn around the Mistic beverage line -- minus Dennis Rodman -- said Triarc Beverage Group chief executive Michael Weinstein.,22
32,Australian cinema operator Hoyts Cinema Ltd reported on Wednesday a half year net profit in line with expectations and announced further expansion plans in Latin America by entering the Chilean cinema market.,23
33,"China's economy grew by 9.6 percent in the first nine months of 1996, but many urban family incomes are lagging behind, the State Statistical Bureau said Wednesday.",34
34,"In a major victory for television broadcasters, the Supreme Court on Monday upheld a federal law forcing cable-TV operators around the country to carry local TV station broadcasts.",40
35,"U S West Communications Group. reported better-than-expected first-quarter earnings Friday, citing successful marketing programmes and tighter cost controls.",9
36,"China's role as an important world trading partner is a legacy of reformist leader Deng Xiaoping, but the hard task of fully opening the country's food markets remains, diplomats and analysts said on Monday.",27
37,"The man who watched Indonesia's Busang, the largest gold discovery of the century, slip from his grasp is gracious in defeat.",12
38,Anglo-American conglomerate Hanson Plc set the date for the final stage of its ambitious four-way demerger on Tuesday with the announcement that its Energy Group division will be spun off on February 24.,8
39,"The world's biggest business services group Rentokil Initial Plc announced sharp rises in 1996 sales and profits on Wednesday, but there were concerns that it relied heavily on newly-acquired BET for progress.",19
40,"GKN Plc, the UK auto-components group hit by a U.S. court verdict which awarded $398 million in damages to franchisees on Thursday, could see shares knocked further if the group fails to reverse the judgement through appealing, said analysts.",8
41,"Cathay Pacific Airways Ltd has opened a new cargo office in Auckland, New Zealand, according to the airline's in-house newspaper.",15
42,Jet Multimedia aims to take on both Netscape Communications and Microsoft and have its France Explorer browser become the French standard instead of Netscape Navigator or Microsoft Explorer.,29
43,"Ford Motor Co. said Wednesday its U.S. light vehicle sales fell 2.2 percent in November as a steep drop in car sales offset gains in trucks, capping off a disappointing month for the industry.",7
44,"The seven-year-old reincarnation of Tibet's second holiest Living Buddha, selected by China, spends his days memorising Buddhist sutras, playing football or learning to use his computer, state media said on Sunday.",14
45,"The U.S. communications revolution is off to a slow start, unleashing more hype than competition among local and long-distance carriers, cable-TV firms, utilities and others.",40
46,Mercury Finance Co. said Wednesday it found problems in its bookkeeping that caused it to overstate earnings by $90 million over four years and that its chief accountant had apparently disappeared.,5
47,"The French government said on Tuesday it planned to sell the loss-making SFP film studios, maker of much of the country's cinema and television film heritage, to Generale des Eaux and Havas.",29
48,"Harnischfeger Industries Inc. said Friday it offered to buy Giddings &amp; Lewis Inc., a Fond du Lac, Wisconsin-based maker of industrial automation products and machine tools, for about $747 million, including assumption of debt.",5
49,China on Wednesday handed over to U.S. military officers the remains of U.S. airmen who died 52 years ago when their bomber crashed into a remote southwestern Chinese mountain during World War Two.,43
50,Intel Corp. executives said late Tuesday the company has agreed to invest cash and technical know-how in a new company to deliver multimedia content by satellite to personal computers across Europe.,41
51,"Liggett Group's pact breaking away from other cigarette makers has failed to shake the confidence of tabacco growers in North Carolina, where the crop has been king for centuries.",33
52,"A week of prolonged and heavy rains in Ivory Coast's cocoa belt has boosted prospects for a large mid-crop (May-Sept), but more rain is needed, up-country buyers and crop analysts said on Thursday.",32
53,"Republic Industries Inc. Monday agreed to buy National Car Rental System Inc. for about $600 million in stock, another step into auto rentals that will also feed its growing used car business.",33
54,"China's securities authorities are trying once again to ban domestic investors from the foreign currency B share market, but brokers said on Friday that the drive had little chance of success.",11
55,"Norfolk Southern Corp. on Monday launched a new effort to derail a planned $9.1 billion merger between Conrail Inc. and CSX Corp., proposing to buy a stake in Conrail even though its takeover bid has been rejected several times.",39
56,"Bre-X Minerals Ltd. and Barrick Gold Corp. are trying to forge an alliance to mine the huge Busang gold deposit in Indonesia despite a cloud of uncertainty over the rights to the find, Bre-X's chief executive said Thursday.",12
57,"Former Archer Daniels Midland Co. executive Mark Whitacre, who acted as an informant in an antitrust case against the company, Friday sued ADM, seeking back wages and punitive damages.",36
58,"Investors, who last week helped drive the Toronto Stock Exchange to its 50th record close this year, are unlikely to cool on Canadian stocks any time soon, attracted by Canada's improving economic fundamentals.",26
59,"China tightened its grip on the media on Sunday with directives on how to write news, ordering journalists not to advocate sex, violence and superstition and to fill their reports with patriotism and socialism.",14
60,Cie Generale des Eaux on Tuesday launched its bid to become the main rival to state-owned France Telecom with the start a fixed telephone network in a residential quarter in the southern city of Nice.,29
61,French food group Saint Louis on Tuesday tightened its grip on the Spanish sugar sector by acquiring a 15 percent stake in Spain's biggest sugar company and second-largest food group Ebro Agricolas.,29
62,"The president and 15 board members at Nomura Securities Co Ltd will resign to take responsibility for a racketeering scandal that has again sullied the name of Japan's biggest securities firm, the company announced on Tuesday.",10
63,Czech Prime Minister Vaclav Klaus said on Thursday his ruling Civic Democratic Party (ODS) would end the governing coalition if his partners backed opposition plans to lower the pension age and boost farm subsidies.,18
64,"UK leisure group Conrad Plc is seen sealing its proposed takeover of Sheffield United Football Club in three to four weeks, when details will be sent to shareholders after due diligence is complete, a senior source close to the company told Reuters.",8
65,Financial services group Cater Allen said on Friday its purchase of Glasgow-based stockbroker Aitken Campbell from Union Plc would complement its existing activities in share dealing and stock lending.,17
66,"America Online Inc. said Tuesday it planned to place advertising on company-sponsored discussion areas, or ""chat groups,"" as part of the world's largest online service's bid to expand its revenue base beyond mainly subscriber fees.",9
67,"Its wheels whirring non-stop, Hong Kong is moving into top gear to prepare for one of the high points in its history -- its return to Chinese rule at midnight on June 30 after a century and a half as a British colony.",45
68,"Bre-X Minerals Ltd. has been silent since it said last month that it formed a partnership with the son of the Indonesian ruler Suharto, a move that has worried shareholders and prompted regulators to seek more information.",12
69,"Authorities in central China's Anhui province have ordered three pro-democracy activists to stand trial on charges of counter-revolutionary propaganda and incitement, a human rights group said on Monday.",34
70,"Undeterred by the woes of Japan's debt-laden finance industry, foreign investors have flocked to a new share offering by the nation's fourth-biggest bank.",10
71,"British telecommunications company Energis said on Friday that its parent, the National Grid electricity transmission network, might sell a majority stake in the company to one or more strategic investors.",24
72,"Toronto's key stock index set new highs on Wednesday, powered by glittering gold stocks as gold futures soared on precious metal markets.",26
73,Czech ultra-right Republicans staged a small but noisy demonstration as German Chancellor Helmut Kohl arrived to sign a post-war reconciliation accord between the Czech Republic and Germany on Tuesday.,13
74,"The party of right-wing Czech Prime Minister Vaclav Klaus took a solid lead in Senate election run-offs on Saturday, but turnout was dismal despite an appeal to vote from President Vaclav Havel.",1
75,"Ivorian 1996/97 cocoa arrivals stood at around 390,000-410,000 tonnes by mid-December, after a slow start to the month, analysts and exporters say.",32
76,"Australia's biggest company, The Broken Hill Pty Co Ltd (BHP), has agreed to pay its local steel workers a 10-percent pay rise over two years in a wage deal which could set the tone for other labour negotiations.",30
77,"A scuffle breaking out between a top U.S. bank regulator and the state of Rhode Island could foreshadow an increasing number of disputes as more national banks begin selling insurance products, market participants said.",0
78,A group of U.S. and European firms on Tuesday revealed they had developed a system for money transactions over the Internet.,2
79,The birth in 1970 of what would become one of China's top computer firms could hardly have been less auspicious.,34
80,China said on Thursday its jailing of leading dissident Wang Dan for 11 years was not a human rights issue but an ordinary legal matter that would not hurt Beijing's sensitive ties with the United States.,34
81,"After 19 months of sometimes violent confrontations, six striking newspaper unions on Friday made an unconditional offer to return to work at Detroit's two major daily papers.",48
82,"Canada's venerable Eaton's department store chain, under bankruptcy protection, said on Wednesday it placed 31 of 85 stores under review as U.S. vulture brokerages swooped down on its C$150 million (US$110 million) supplier debt.",26
83,Wallace Computer Services Inc. said Thursday its directors will unanimously recommend that shareholders reject a bid by Wyser-Pratte &amp; Co. Inc. to gain control of the computer services company's board.,5
84,"GTE Corp. Wednesday said earnings rose 9 percent in the third quarter, boosted by strong demand for new phone lines from people setting up businesses or hooking up computers at home.",35
85,"The Czech Statistical Bureau (CSU) on Monday issued forecasts for 1997 predicting a slight economic upturn, but analysts warned burgeoning trade and current account deficits are clouds looming on the horizon.",1
86,New York state Attorney General Dennis Vacco said Friday that he planned to sue America Online Inc. if the company's negotiations with prosecutors from 20 states over consumer issues broke down.,46
87,The French government on Wednesday called off the controversial sale of electronics group Thomson SA in a major policy U-turn after weeks of staunchly defending its choice of buyer.,29
88,"Russia's second-generation, billion-dollar foreign oil projects are finding out that close ties to top government figures, delicate talks with new partners and careful handling of oil-rich, ambitious regions are vital.",28
89,"Pegged currencies are common in Asia, with its fondness for order and authoritarianism.",42
90,Shares on most central and eastern European bourses gained ground this week though there were some indications the upturn may be short-lived.,1
91,"The skyscrapers are decked with fairy lights. Red-cloaked Santas pat children on the head. Christmas carols ring out. It is Christmas in Britain's last major colony, but will it ever be like this again?",37
92,"An army of financial market regulators were poised on Sunday to descend on NatWest Markets, the investment banking arm of National Westminster Bank, which on Friday announced a 50 million pound ($81.4 million) hole in its options trading book.",17
93,"The latest scandal at Nomura Securities has seriously damaged the industry's image and the brokerage will be hard-pressed to convince investors it can clean up its act, analysts and market sources say.",10
94,"Chrysler Corp., capping the strongest annual sales performance in its history, said Tuesday it earned $807 million during the fourth quarter of 1996, with special charges holding it back from its best full-year profit ever.",7
95,Shares of food and beverage giant PepsiCo Inc rose sharply Thursday on rumors that it could be a takeover target of Philip Morris Cos Inc.,39
96,Shares in British insurer Commercial Union (CU) jumped on Friday amid renewed speculation the insurance group may become the next victim in the industry's push to consolidate.,44
97,"IBM shares fell in heavy trading Friday after three Wall Street firms made negative comments about the giant computer maker in the past two days, saying a stronger dollar and a product transition will hurt earnings.",46
98,"Hong Kong's luxury property market, which has taken a beating since March, looks set to consolidate before making a recovery in the third quarter of 1997, property experts and developers said on Tuesday.",45
99,"AT&amp;T Corp. is earning more, but having trouble getting paid.",35
100,"The agriculture ministry said on Tuesday it plans to privatise Budejovicky Budvar n.p., makers of Czech Budweiser beer, via a management buyout, after lengthy talks with Anheuser Busch Cos broke down last year.",13
101,China and South Korea negotiated on Friday over the defection of a top North Korean who has taken refuge in Seoul's mission in Beijing while Pyongyang officials said they aimed to persuade the defector to return.,3
102,British regional electricity company Northern Electric said on Monday it would rush out results by the end of November to show that a $1.225 billion bid from CE Electric of the U.S. was inadequate.,16
103,"Quaker Oats Co. conceded defeat Thursday in efforts to turn around its struggling Snapple beverage unit and agreed to sell it for $300 million -- $1.4 billion less than it paid for the business -- to Triarc Cos. Inc., the owner of rival Mistic beverages.",22
104,"Northern Rock Building Society will publish detailed proposals for its stock market flotation, including a preliminary valuation of the company, in the first week in March, director Adam Applegarth said on Wednesday.",17
105,"Colombia's President Ernesto Samper announced Tuesday plans to boost revenues by broadening the tax base, and said the 1997 budget would be cut by over a trillion pesos -- a figure higher than the 900 billion pesos previously approved by Congress.",20
106,Central bank independence is not usually a hot topic in Hong Kong but the territory has been debating the subject with vigour just 19 weeks before its return to China.,42
107,"Demand for space has eased slightly as a recent backlog is cleared and some airlines provide extra capacity, but key ex-Hong Kong rates have continued to rise, Reuters research shows.",15
108,"America Online Inc. was hit with two more lawsuits Wednesday from frustrated subscribers, and the world's largest online service also suffered a computer glitch that led it to shut down half of its system for nearly four hours.",46
109,"French holding company CGIP said on Tuesday it was buying 20 percent of car parts manufacturer Valeo, solving a problem which has occupied the government, France's car makers and Italian businessman Carlo de Benedetti.",38
110,"Australia's largest retailer, Coles Myer Ltd, forecast a rejuvenation in its profit outlook at its annual meeting on Tuesday but failed to stop shareholders launching into a six-hour tirade aimed at Coles' directors.",4
111,Young drug discovery group Vanguard Medica Plc said on Thursday it could wait longer than expected before seeking a fresh cash injection.,19
112,"U.S. cereal leader Kellogg Co is hoping its competitors cut back on their promotional efforts, but failing that it may be forced to increase costly marketing efforts next year.",36
113,"Silver King Communication's $1.27 billion stock-swap acquistion of Home Shopping Network hastens Silver King's plans to become a conventional broadcast-TV powerhouse, Silver King said on Monday.",33
114,British insurer Legal &amp; General (L&amp;G) on Thursday reported a double digit rise in profits for 1996 and gave an upbeat assessment of the outlook for the group.,44
115,"Computer, give me $20.",9
116,"David Walsh, the maverick Canadian embroiled in world's biggest gold fiasco, always dreamed of striking it rich.",6
117,ReliaStar Financial Corp chairman John Turner said Monday his company's $488 million merger deal with Security-Connecticut Corp would broaden the insurance products sold by both firms.,36
118,"Slower-than-expected third quarter economic growth might force the Czech National Bank (CNB) to make a modest interest rate cut early next year, but analysts said the priority would still be to fight inflation.",18
119,Australian government-owned Telstra Corp reported a 38.4-percent fall in net profit for the 1996/97 first half as the costs of shedding almost a third of its workforce started to ring up for the telephone carrier.,23
120,"Intuit Inc., Microsoft Corp. and Checkfree Corp. said Thursday they jointly developed a software standard to make it easier to bank online.",25
121,"China could be sitting on ample copper supplies to get it through the next few months, wiping out the need to buy on the world market whether current high prices fall or not, traders and analysts said on Thursday.",27
122,Boeing Co. stock surged Tuesday after the company decided to mothball plans to build a costly stretch version of its 747 jumbo jet.,31
123,"Under pressure from angry stockholders to restructure, WMX Technologies Inc. said Wednesday it agreed to sell for $626 million the 19 percent stake it holds in ServiceMaster L.P., a provider of services ranging from lawn chemicals to household maids.",22
124,China on Thursday tried to play down friction with the United States over a rising trade gap and called on the U.S. to end curbs on technology exports to put trade back in balance.,49
125,"Two of Japan's most troubled banks took action on Tuesday to end their long-running financial woes, with one announcing a radical restructuring and the other finding a merger partner.",10
126,Tibet's toilets offer some of the most spectacular views in the world -- if you can hold your nose long enough to enjoy the scenery.,14
127,Channel Tunnel operator Eurotunnel SA/Plc sought to reassure the public Wednesday about the safety of the rail link between France and Britain following last week's fire that halted most services.,38
128,"One year after its dramatic expulsion from the United States, scandal-hit Daiwa Bank is finding its misfortune may in some ways have been a blessing in disguise, analysts say.",10
129,"Brewer to leisure group Whitbread Plc should report a 10 percent rise in first half earnings on Tuesday, kicking off the reporting season for drinks companies with a rosy picture of consumer spending on the high street this summer.",47
130,"Amidst a wave of consolidation, U.S. hospital management and nursing home companies are expected to post mixed results in the third quarter.",22
131,"Port arrivals of 1996/97 Ivorian cocoa totalled around 1.02-03 million tonnes by May 12, down from 1.11 million by that date in the record 1995/96 year, port sources said on Tuesday.",32
132,"A $22 billion deal between British Telecom Plc and MCI Communications Corp that would create the world's second largest telecoms group looked set to be announced on Sunday, sources close to the talks said.",21
133,"If every person in Russia and Germany turned on their televisions, that would equal the number of Chinese who have watched a primetime documentary on the life of China's paramount leader Deng Xiaoping.",14
134,"When Gilbert Amelio took the top job at Apple Computer Inc. last year, many analysts predicted he would follow the same game plan he used to turn around National Semiconductor Corp.",25
135,"French chocolate group CEMOI is building a new cocoa processing factory in Ivory Coast which will open in October 1997, the company's managing director said on Wednesday.",32
136,"After July 1, Hong Kong's role as facilitator of China-Taiwan trade will continue and probably expand, but the territory's reversion to mainland rule is bound to heighten sensitivities between the ""two Chinas"", experts say.",42
137,"Australian flag carrier Qantas Airways Ltd on Thursday reported a 2.4 percent rise in net profit for the 1996/97 first half, but warned its Japan routes were unlikely to repeat the profitabiliy of the early 1990s.",23
138,"Almost 8 out of 10 people in Britain are opposed to insurance companies using genetic test results as the basis for charging higher premiums or refusing to provide cover, according to an opinion poll commissioned by The Genetics Forum released on Wednesday.",44
139,"The merger of MCI Communications Corp and British Telecommunications Plc will spur still more mega-mergers among U.S. carriers, seeking safety in size as markets coalesce.",35
140,"Anglo-Dutch food-to-detergent group Unilever Plc, reporting third quarter results next Friday, is likely to have suffered from restructuring costs for its North American industrial cleaning business Diversey and from weak ice cream sales in a drab European summer, analysts said.",47
141,"A halt in shipments of generic blood glucose test strips distributed by Chronimed Inc could reduce the company's fiscal third-quarter earnings by as much as $0.06 per share if they are not resumed during the quarter, said chief financial officer Norman Cocke.",22
142,China published on Saturday a list of anti-dumping rules to protect local companies from unfair foreign competition.,49
143,"British household products group Reckitt and Colman Plc reported an 11 percent rise in 1996 pretax profits to 316.5 million pounds ($505.5 million) on Thursday, saying the underlying performance of the group remained solid.",47
144,"The world's biggest prescription drugs company, Glaxo Wellcome Plc, announced an 18 percent leap in pre-tax profits on Thursday, but said life would be tougher after its best-selling drug loses its U.S. patent in July.",19
145,"Wheelabrator Technologies Inc indefinitely deferred a $350-million Dutch auction stock buyback because its parent company -- WMX Technologies Inc -- has no chief executive, said Wheelabrator chief financial officer Robert Gagalis on Tuesday.",22
146,"British households are likely to pay less for water and get a better service from cash-rich privatised utility companies in the next decade, the industry regulator promised consumers on Wednesday.",24
147,"Music companies are waiting for the world to rock to a new sound that will entice consumers back into record shops and drive up sluggish global sales, analysts said on Tuesday.",24
148,"China on Thursday savoured its latest victory in a diplomatic tug-of-war with Taiwan, while the stunned island scrambled to limit the damage from South Africa's decision to abandon it.",3
149,Australian banking and insurance group Colonial Ltd hopes to make a strong share-market debut on Monday after major investors rushed its A$690 million (US$535 million) float.,30
150,"Australia's biggest bank, National Australia Bank Ltd (NAB), said on Thursday it would consider any opportunity to merge with a local life office.",30
151,"Russia will push to expand economic ties with China at a top level meeting in Moscow next month as old political hostilities fade in the background, a senior Russian diplomat said on Friday.",49
152,Conrail Inc. said Tuesday it planned to proceed with a crucial shareholder meeting Friday despite Norfolk Southern Corp.'s latest effort to thwart the railroad's planned $9.2 billion merger with CSX Corp.,39
153,"Food service company Compass Group still has plenty of growth potential to come from the global trend towards contracting out catering, said chief executive Francis Mackay in an interview.",47
