Author,Text
candidate00001,"The Internet may be overflowing with new technology but crime in cyberspace is still of the old-fashioned variety.
"
candidate00001,"The U.S. Postal Service announced Wednesday a plan to boost online commerce by enhancing the security and reliability of electronic mail traveling on the Internet.
"
candidate00001,"Elementary school students with access to the Internet learned more than kids who lacked access, an indepedent research group concluded after conducting a comparative study in seven urban school districts.
"
candidate00001,"An influential Internet organisation has backed away from a proposal to dramatically expand the number of addresses available on the global computer network.
"
candidate00001,"An influential Internet organisation has backed away from a proposal to dramatically expand the number of addresses available on the global computer network.
"
candidate00001,"A group of leading trademark specialists plans to release recommendations aimed at minimizing disputes over Internet address names.
"
candidate00001,"When a company in California sells a book to a consumer in Canada from a Web site hosted on a computer in England, what laws govern the transaction?
"
candidate00001,"U.S. laws governing the trillion dollar futures markets could be rocked by the Supreme Court's interpretation of the word ""in"" in a case to be argued Wednesday. But a legislative solution is in the offing.
"
candidate00001,"Supreme Court justices Wednesday sharply questioned rules governing so-called derivative investments and foreign currency trading in a case that could have wide repercussions for both markets.
"
candidate00001,"The Internet continued to grow in leaps and bounds this year while online services found it much harder to add new customers, a survey said Friday.
"
candidate00001,"Hewlett-Packard Co. unveiled a new plan Monday to boost sales of computer encoding technology, considered a key component of global communications and the development of commerce over the Internet.
"
candidate00001,"The Internet continued to grow in leaps and bounds this year while online services found it much harder to add new customers, a new survey says.
"
candidate00001,"The growing business of doing business on the Internet poses a major challenge to tax collectors, but no special taxes should be imposed in cyberspace, the government said in report released Thursday.
"
candidate00001,"A leading software industry group is backing away from its early support of the Clinton Administration's new policy to ease export rules on computer encoding technology.
"
candidate00001,"A U.S. District Court judge Wednesday barred new federal regulations that allow credit unions to expand their membership beyond workers at one company, saying this would exceed the legal limits of the institutions.
"
candidate00001,"The Internet could provide a huge boost to the U.S. economy if the federal government pursues ""free market"" policies in cyberspace, a group of President Clinton's top advisers says in a draft report obtained by Reuters.
"
candidate00001,"The Clinton administration will modestly revise controversial export rules for computer encoding technology after a private meeting Wednesday with computer and telecommunications companies, a top Commerce Department official said.
"
candidate00001,"A break-in at the U.S. Justice Department's World Wide Web site last week highlighted the Internet's continued vulnerability to hackers.
"
candidate00001,"If the Board of Governors of the U.S. Federal Reserve System does as expected early Friday and votes to expand banks' non-banking activities, it will only heighten the drive in Congress to overhaul U.S. banking regulations completely, analysts and industry officials said.
"
candidate00001,"The Federal Reserve took another step Friday toward eliminating the barriers between banking and other financial service industries, voting to allow banks to further invade the turf of Wall Street securities firms.
"
candidate00001,"The Federal Reserve Friday rebuffed a request by the Justice Department to allow U.S. banks to collect data about borrowers as part of an effort to discourage racial discrimination in lending.
"
candidate00001,"An international task force working to resolve the simmering controversy over desirable addresses on the Internet released a draft plan Friday for a substantial expansion of the total number of destinations.
"
candidate00001,"An international task force charged with resolving the simmering controversey over desirable Internet address names released a draft plan Friday to expand the total number of addresses substantially.
"
